"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R12,R8,R7,R5,R6,R11,R10,R9";"R_0805_2012Metric";8;"100";;;
2;"R4,R3";"R_0805_2012Metric";2;"330";;;
3;"J2";"USB_Mini-B_Lumberg_2486_01_Horizontal";1;"USB_B_Mini";;;
4;"C12,C5,C6,C7,C10,C4,C11";"C_0603_1608Metric";7;"0.1uF";;;
5;"R2,R1";"R_0805_2012Metric";2;"10k";;;
6;"C8";"C_0805_2012Metric";1;"10uF";;;
7;"LS1";"Buzzer_12x9.5RM7.6";1;"Speaker";;;
8;"R16";"R_0603_1608Metric";1;"1k";;;
9;"R14,R15";"R_0603_1608Metric";2;"22";;;
10;"U4";"SOT-23-6";1;"USBLC6-2SC6";;;
11;"D3,D1,D2";"LED_0805_2012Metric";3;"LED";;;
12;"R13,R17";"R_0603_1608Metric";2;"10k";;;
13;"C2,C3";"C_0603_1608Metric";2;"22p";;;
14;"U2";"TSSOP-16_4.4x5mm_P0.65mm";1;"74HC595";;;
15;"S3";"PTS526_SMD_Button";1;"PTS526_SM08_SMTR2_LFS";;;
16;"U5";"SOT-23-5";1;"LP2985-3.3";;;
17;"Y1";"Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm";1;"16MHz";;;
18;"C9,C13";"C_0603_1608Metric";2;"1uF";;;
19;"F1";"Fuse_1812_4532Metric";1;"PTCSMD";;;
20;"U3";"TQFP-44_10x10mm_P0.8mm";1;"ATmega32U4-A";;;
21;"S2,S1";"PTS125_SMD_Button";2;"PTS125SM43SMTR21M_LFS";;;
22;"J1";"PinSocket_2x03_P2.54mm_Vertical";1;"AVR-ISP-6";;;
23;"U1";"CA56-12EWA";1;"CA56-12EWA";;;
24;"C1";"C_0603_1608Metric";1;"0.1u";;;
25;"C15";"C_0603_1608Metric";1;"10nF";;;
26;"J3";"PinSocket_2x04_P2.54mm_Vertical";1;"ESP_Conn";;;
27;"C14";"C_0603_1608Metric";1;"2.2uF";;;
